KeggID,C1,C2,C3,Cd1,Cd2,Cd3
K15075,248,267,331,164,210,168
K15032,449,562,552,398,417,422
K16569,363,494,508,356,385,356
K03696,223,287,261,202,145,140
K14509,1825,2174,1984,1107,1329,1317
K14509,1796,2149,1911,1115,1309,1274
K05925,309,403,329,372,460,512
K05925,279,399,320,421,448,505
K07889,2066,2617,2063,2897,3273,3591
K20178,6,8,6,12,7,4
K13449,14,13,11,8,12,15
K13449,0,0,0,1,0,0
K11251,432,542,528,524,550,702
K19036,86,135,124,64,78,76
K19036,98,136,118,60,90,78
K24444,323,506,411,305,430,448
K10808,151,194,208,445,449,477
K02180,493,630,674,354,388,407
K18342,529,584,616,536,518,589
K22558,200,252,230,245,276,253
K00430,818,903,749,461,509,507
K15535,2170,2543,2236,1598,1624,1612
K03859,166,217,191,127,154,137
K07560,376,409,437,323,283,371
K15636,43,58,81,54,37,68
K09422,167,217,266,817,783,881
K09422,172,199,263,816,811,856
K04459,0,1,0,2,0,0
K00688,4937,6476,5898,3161,3844,3364
K22756,103,143,133,189,245,246
K01711,1526,1728,1185,1575,1537,1984
K01711,725,935,606,834,782,1085
K01868,619,686,725,868,891,850
K01868,592,713,706,830,886,903
K03537,69,100,95,66,68,75
K03537,75,77,83,68,71,85
K13525,136,181,199,188,221,171
K13525,116,159,227,166,192,139
K00600,4737,5848,5291,9544,9888,11193
K03844,277,416,349,432,416,414
K23719,597,689,725,383,358,323
K02703,544,371,602,396,486,123
K14713,408,482,474,422,402,438
K11308,243,303,278,265,255,274
K11308,239,318,242,232,231,222
K03165,329,357,396,203,285,203
K24770,209,268,280,158,119,124
K03037,1059,1167,1165,1160,1142,1153
K09843,444,574,464,367,366,449
K19373,203,216,221,127,162,156
K20223,1262,1525,1286,1319,1302,1440
K20223,1239,1519,1325,1248,1277,1414
K10775,598,762,450,537,541,678
K15633,39,63,64,84,63,78
K24722,40,95,93,31,32,32
K24722,58,82,72,38,21,26
K12843,415,445,483,366,363,375
K13201,327,401,440,311,320,293
K13201,264,356,289,245,247,241
K13201,139,145,163,148,120,103
K02880,5342,6724,6932,6579,5775,6561
K02880,5503,6990,7396,6972,6242,6820
K13427,192,191,201,225,172,191
K13427,153,189,232,202,188,205
K10418,1361,1937,1499,1756,1796,2315
K15025,231,286,210,185,176,169
K15131,153,199,194,95,115,153
K15131,119,140,141,111,104,112
K11778,415,483,513,387,463,520
K12572,855,1126,933,717,761,818
K12572,877,1122,957,726,750,863
K12860,707,878,841,922,1081,1165
K19676,44,62,43,42,35,36
K19676,43,42,54,43,31,28
K19676,28,45,31,25,21,19
K19676,36,32,23,19,23,31
K15186,119,127,124,93,96,133
K15186,91,154,103,90,102,127
K00232,1195,1472,1234,1384,1508,1657
K17081,393,438,407,323,307,295
K17081,333,423,386,257,305,309
K17081,361,423,417,313,363,316
K22048,15,26,28,332,233,333
K05762,129,148,231,183,178,129
K22560,82,119,112,108,95,122
K22560,90,111,118,109,87,103
K20367,1753,2244,1893,2775,2408,3036
K19682,15,15,12,9,6,12
K22647,1264,1486,1232,1501,1643,1732
K22200,361,478,344,279,356,430
K22390,38,70,63,99,89,119
K02974,5445,5269,7757,6152,5874,6879
K04078,2210,2666,2677,2611,2621,2829
