	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
414	K00231	K00231	K00231	PPOX	ortholog	578	278	46	17	-76.6666666666667	357.333333333333	183.333333333333	#00FF00	#FF0000	#FF0000
418	K01772	K01772	K01772	NA	ortholog	745	278	46	17	188	197	513	#FF0000	#FF0000	#FF0000
420	K00435	K00435			ortholog	781	303	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
421	K05934	K05934			ortholog	337	607	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
422	K21480	K21480	K21480	NA	ortholog	874	464	46	17	393.333333333333	615.333333333333	856.333333333333	#FF0000	#FF0000	#FF0000
423	K07145	K07145			ortholog	874	401	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
427	K22011	K22011			ortholog	283	503	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
430	K22012	K22012			ortholog	284	591	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
433	K21610	K21610			ortholog	284	680	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
436	K21612	K21612			ortholog	284	770	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
438	K21796	K21796			ortholog	1086	484	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
440	K21312	K21312			ortholog	1052	850	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
442	K22013	K22013	K22013	NA	ortholog	745	1304	46	17	-214.666666666667	-58.6666666666667	-179.666666666667	#00FF00	#00FF00	#00FF00
443	K22013	K22013	K22013	NA	ortholog	888	1116	46	17	-214.666666666667	-58.6666666666667	-179.666666666667	#00FF00	#00FF00	#00FF00
448	K07215	K07215			ortholog	874	356	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
449	K07215	K07215			ortholog	874	379	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
450	K22227	K22227			ortholog	831	303	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
453	K22226	K22226			ortholog	329	228	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
454	K22225	K22225			ortholog	188	290	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
458	K23825	K23825			ortholog	963	538	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
460	K00798	K00798			ortholog	351	1107	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
461	K08973	K08973			ortholog	626	375	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
466	K24867	K24867			ortholog	658	194	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
473	K25499	K25499			ortholog	725	1395	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
476	K25498	K25498			ortholog	817	1395	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
479	K25497	K25497			ortholog	909	1395	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
482	K22465	K22465			ortholog	1001	1395	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
487	K25496	K25496			ortholog	353	1380	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
